year,country_code,tax_revenue,inflation,gdp
1997,NER,,6.99168132354842,2290318910.206582
1997,NGA,,5.055345931060856,200850397618.18185
1997,NIC,10.589091758037974,9.77799319077701,4389973334.979759
1997,NLD,20.902991938538115,2.691890947872608,417506211881.6354
1997,NOR,23.891916519179208,2.7857106919765044,161356631888.4836
1997,NPL,8.723659866031163,7.279092977635202,4918691916.535157
1997,NRU,,6.122241083117046,37331507.27813429
1997,PAK,12.74247296064097,13.383514638671317,62433340468.02277
1997,PAN,,1.5374878904108584,10058854400.0
1997,PER,14.398760530647817,7.283131128656123,58147522522.52252
1997,PHL,14.86149493124212,6.259815755793994,94106317565.08456
1997,PNG,23.72320470083056,8.426361581978071,4936615298.793669
1997,POL,20.834803438233664,13.70539661068895,159893964916.8174
1997,PRT,20.26430124372917,3.8852081927906994,117016535162.95026
1997,PRY,,3.410989240663568,9965225678.05093
1997,PSE,,-3.834246329909533,3759800000.0
1997,QAT,,-4.078974360063299,11297802115.384617
1997,ROU,17.03601162348383,135.3383994721939,35575214078.24284
1997,RUS,,15.058503642684556,404928954191.8756
1997,RWA,,15.621502442315688,1851558197.3108816
1997,SDN,,37.921169977766965,11681175864.338284
1997,SEN,,1.9778291737995768,6041478725.904432
1997,SLB,,8.473222442212986,526554005.9543571
1997,SLE,,2.252768366251672,850233193.1542335
1997,SLV,,3.3838083741317178,10221705900.0
1997,SRB,,17.89929113819433,27153408994.80744
1997,STP,,39.11398213974422,91920274.24016574
1997,SUR,,1.4936997685117888,926422500.0
1997,SVK,20.36026757419324,4.729325504189205,27844628979.268154
1997,SVN,21.8096257331822,8.300536654599739,20726878751.5006
1997,SWE,27.503995211117548,1.4985811794336286,268251974485.586
1997,SWZ,,11.344841180932503,1716714070.1247103
1997,SYC,25.34367669785777,0.8746556082079024,598966982.3501863
1997,SYR,,2.757122249330422,14505233463.03502
1997,TCD,,3.782785464993552,1544689576.9271238
1997,TGO,,2.03603454597328,2116818622.9583416
1997,THA,16.10547925720388,4.421168366326782,150180456565.72845
1997,TJK,,65.25120019011908,921518032.909326
1997,TKM,,61.80004410613256,2450350625.104074
1997,TLS,,0.231034202777252,319972700.0
1997,TON,,-0.117974143918758,214991477.8473653
1997,TTO,,-3.5435676378260297,5737771523.101478
1997,TUN,18.441033151145863,14.125336532737135,20746210353.844982
1997,TUR,19.05053839308102,81.4548625820616,189878399894.64328
1997,TUV,,-1.3053523737627586,13734210.09663198
1997,TZA,,20.58723214725535,11158197941.915222
1997,UGA,,3.095268519188579,6269333313.171083
1997,UKR,,18.073795456302747,50151531591.73168
1997,URY,16.780792455572044,27.485166095239435,23969739233.89664
1997,USA,11.828199933967174,1.72444795356148,8577552000000.0
1997,UZB,,66.08706781148487,14744603773.584906
1997,VEN,,33.947459925683006,85837678559.83244
1997,VNM,,6.597404781761469,26843700441.5482
1997,VUT,18.091501613617663,3.177022792551625,272771209.1136618
1997,WSM,,11.836407396568788,285475591.89650965
1997,YEM,,13.290492691958091,6838298530.54911
1997,ZAF,21.24983956252784,8.137432918580274,168978057327.7297
1997,ZMB,16.050095673879593,25.40254125916369,4303288479.708604
1997,ZWE,,-2.879048137955777,8529571599.999999
1998,AGO,,39.35934832526931,6506229607.294324
1998,ALB,14.568944102606745,6.730859905075775,2545964540.883832
1998,ARE,1.0758723921788755,-4.2544453145585805,75674336283.18584
1998,ARG,9.030526186388446,-1.705279624000852,298948250000.0
1998,ARM,,10.698497756298297,1893726437.2646184
1998,AUS,22.228803204127352,1.1356419046428383,399674421759.4791
1998,AUT,27.02386308090997,0.4820618577434175,217068085815.9181
1998,AZE,12.679334999709353,-0.96513336719066,4446368570.690101
1998,BDI,13.85429535232384,11.450556004805378,893770740.2074156
1998,BEL,27.16304178678192,1.805619546352517,258528339631.0291
1998,BEN,,5.2316047475610645,2455092686.347117
1998,BFA,,7.940316030708345,2804902367.146874
1998,BGD,,4.736212561840716,49984559471.36564
1998,BGR,19.37550127479031,33.951030074826605,15031055046.757534
1998,BIH,,-2.4396946739963,4116774300.606705
1998,BLR,17.112328938804634,76.5804464542025,15221352698.894428
1998,BLZ,14.601452393760086,2.4378598547975656,929500000.0
1998,BOL,13.546529150729478,7.0511267653363205,8497494652.125457
1998,BRA,,4.924361584887876,863710759256.4348
