year,country_code,pop_ages,gender,number
1960,PHL,0-14,male,6948879.0
1960,PHL,15-64,female,6963759.0
1960,PHL,15-64,male,6806813.0
1960,PHL,65+,female,313629.0
1960,PHL,65+,male,308854.0
1960,POL,0-14,female,4850209.0
1960,POL,0-14,male,5047740.0
1960,POL,15-64,female,9394452.0
1960,POL,15-64,male,8636739.0
1960,POL,65+,female,1058891.0
1960,POL,65+,male,649419.0
1960,PRT,0-14,female,1274814.0
1960,PRT,0-14,male,1319289.0
1960,PRT,15-64,female,2920653.0
1960,PRT,15-64,male,2644915.0
1960,PRT,65+,female,422184.0
1960,PRT,65+,male,275860.0
1960,QAT,0-14,female,7878.0
1960,QAT,0-14,male,8052.0
1960,QAT,15-64,female,9171.0
1960,QAT,15-64,male,9689.0
1960,QAT,65+,female,647.0
1960,QAT,65+,male,573.0
1960,ROU,0-14,female,2560918.0
1960,ROU,0-14,male,2612773.0
1960,ROU,15-64,female,6155743.0
1960,ROU,15-64,male,5811296.0
1960,ROU,65+,female,751241.0
1960,ROU,65+,male,514933.0
1960,RUS,0-14,female,17959041.0
1960,RUS,0-14,male,18623116.0
1960,RUS,15-64,female,43165433.0
1960,RUS,15-64,male,32973902.0
1960,RUS,65+,female,5042260.0
1960,RUS,65+,male,2133247.0
1960,RWA,0-14,female,744137.0
1960,RWA,0-14,male,743304.0
1960,RWA,15-64,female,730736.0
1960,RWA,15-64,male,710770.0
1960,RWA,65+,female,49909.0
1960,RWA,65+,male,43439.0
1960,WSM,0-14,female,27094.0
1960,WSM,0-14,male,29217.0
1960,WSM,15-64,female,26082.0
1960,WSM,15-64,male,26944.0
1960,WSM,65+,female,1678.0
1960,WSM,65+,male,1476.0
1960,STP,0-14,female,10885.0
1960,STP,0-14,male,11475.0
1960,STP,15-64,female,17514.0
1960,STP,15-64,male,25672.0
1960,STP,65+,female,1376.0
1960,STP,65+,male,1089.0
1960,SEN,0-14,female,731748.0
1960,SEN,0-14,male,743762.0
1960,SEN,15-64,female,894524.0
1960,SEN,15-64,male,876512.0
1960,SEN,65+,female,51580.0
1960,SEN,65+,male,42781.0
1960,SRB,0-14,female,905873.0
1960,SRB,0-14,male,902613.0
1960,SRB,15-64,female,2285714.0
1960,SRB,15-64,male,2109786.0
1960,SRB,65+,female,260718.0
1960,SRB,65+,male,174288.0
1960,SYC,0-14,female,7621.0
